year_month,homeless_count,average_temp,ZORI,unemployment_rate,evictions,covid
2015-01,678,60.8,1691.364813,5.9,1068,0
2015-02,712,63.1,1705.063257,5.6,772,0
2015-03,732,66.6,1714.876725,5.4,823,0
2015-04,693,65.8,1718.364462,5.1,873,0
2015-05,625,64,1731.96045,5,824,0
2015-07,794,72.4,1755.188985,5.5,991,0
2015-08,679,75.1,1767.189186,5.3,948,0
2015-09,569,77.2,1778.088792,4.9,913,0
2015-10,658,74.4,1782.188054,5,922,0
2015-11,764,63.3,1783.168127,4.9,848,0
2015-12,886,58.1,1788.169222,4.7,937,0
2016-01,668,58.5,1795.847283,4.8,908,0
2016-02,810,63.9,1801.91978,4.7,878,0
2016-03,831,62.7,1813.335853,4.8,833,0
2016-04,819,65.5,1818.662879,4.6,781,0
2016-05,1150,65,1828.366276,4.2,797,0
2016-06,1165,68.9,1844.578336,4.9,900,0
2016-07,1141,70.9,1859.199486,5,840,0
2016-08,1386,72.8,1869.608083,4.9,897,0
2016-09,1137,72,1869.631222,4.7,909,0
2016-10,1124,70.6,1873.856257,4.6,878,0
2016-11,1168,65.8,1874.693471,4.3,772,0
2016-12,1410,58.9,1877.834776,4.2,846,0
2017-01,875,57.9,1881.466523,4.6,952,0
2017-02,1023,59.6,1899.266107,4.3,749,0
2017-03,1099,62.7,1918.621353,4.1,849,0
2017-04,741,65.3,1938.449574,3.8,656,0
2017-05,769,64.9,1950.798038,3.6,892,0
2017-06,973,67.7,1964.332878,4.2,922,0
2017-07,924,73,1979.480256,4.4,778,0
2017-08,1110,73.1,1988.647369,4.3,932,0
2017-09,1105,72.8,1990.000734,3.8,766,0
2017-10,953,71.1,1985.097097,3.6,875,0
2017-11,807,65.1,1986.016521,3.5,638,0
2017-12,863,60.2,1987.403574,3.3,702,0
2018-01,713,61.5,1998.708594,3.6,882,0
2018-02,754,59.4,2009.771343,3.5,714,0
2018-03,1380,60.8,2025.95611,3.3,721,0
2018-04,1145,63.5,2036.669369,3,726,0
2018-05,1149,63.5,2053.234887,2.8,708,0
2018-06,1130,67.5,2062.320906,3.5,788,0
2018-07,829,74.9,2076.507861,3.5,768,0
2018-08,1044,78.1,2083.901058,3.5,885,0
2018-09,697,71.9,2091.075099,3.2,696,0
2018-10,678,69.2,2091.17628,3.2,820,0
2018-11,689,65.6,2083.926263,3.2,749,0
2018-12,714,59.5,2089.696862,3.2,673,0
2019-01,739,58.7,2092.11782,3.8,910,0
2019-02,701,55.7,2101.58613,3.4,632,0
2019-03,655,60.5,2106.250974,3.4,634,0
2019-04,676,64.3,2118.101842,2.9,639,0
2019-05,757,63.8,2130.726343,2.7,671,0
2019-06,720,66.3,2142.345118,3.3,711,0
2019-07,857,70.1,2154.350874,3.5,814,0
2019-08,702,71.6,2163.445629,3.4,760,0
2019-09,856,72.4,2165.007978,2.9,660,0
2019-10,792,67.9,2162.305849,3,799,0
2019-11,631,63.2,2161.322581,3,635,0
2019-12,566,58.7,2168.472223,2.9,813,0
2020-01,660,58.6,2174.465854,3.3,805,0
2020-02,889,59.5,2179.823198,3.1,637,0
2020-03,469,61.2,2179.17251,4.6,315,1
2020-04,515,64.7,2169.532533,15.8,0,1
2020-05,382,68.7,2161.284211,15.6,127,1
2020-06,643,68.5,2156.378832,13,118,1
2020-07,615,71,2165.37338,12.1,91,1
2020-08,487,73.6,2170.640731,10.1,80,1
2020-09,642,74.2,2180.917567,9.3,172,1
2020-10,593,71.5,2193.080552,8.1,215,1
2020-11,599,62.7,2207.977991,7.8,273,1
2020-12,524,57.9,2217.092187,8.1,336,1
2021-01,613,58,2228.874088,8.3,246,1
2021-02,522,59,2238.449137,7.7,253,1
2021-03,577,58.9,2257.633285,7.3,327,1
2021-04,543,63.8,2283.067162,7.1,275,1
2021-05,826,64.8,2322.438303,6.5,165,1
2021-06,861,68.2,2361.16263,7.2,132,1
2021-07,826,73.1,2413.661544,6.8,123,1
2021-08,779,73.6,2466.908666,6.4,130,1
2021-09,650,72.5,2526.247355,5.4,211,1
2021-10,806,66.8,2562.555627,5.1,224,1
2021-11,861,64.3,2588.267015,4.6,285,1
2021-12,941,55.6,2600.159659,4.1,430,1
2022-01,1046,56.9,2615.010423,4.6,483,1
2022-02,1170,57.4,2641.335495,4,440,1
2022-03,824,59.4,2677.151463,3.6,522,1
2022-04,1119,62.4,2722.803072,3.1,494,1
2022-05,1029,62.3,2765.19746,2.8,885,1
2022-06,1089,66.4,2810.523938,3.4,948,1
2022-07,902,69.5,2844.272147,3.4,701,0
2022-08,1160,74.4,2873.329942,3.5,939,0
2022-09,1188,75.6,2878.64983,3.1,903,0
2022-10,1234,68.2,2871.206859,3.3,1079,0
2022-11,1190,58.9,2848.894892,3.3,726,0
2022-12,1248,56.3,2834.97306,3,736,0
2023-01,1301,55.8,2832.435705,3.6,781,0
2023-02,1039,55.1,2842.294938,3.6,633,0
2023-03,1231,56.8,2868.044513,3.4,672,0
2023-04,1393,60.2,2892.327722,3.1,661,0
2023-05,1490,62.5,2924.635228,3.2,678,0
2023-06,1185,65.3,2946.684184,3.7,775,0
2023-07,1089,70.4,2967.633264,3.8,638,0
2023-08,981,71.9,2969.6931,4.2,801,0